Algoritmo 1
Makespan=18, Balanceamento= 14  
Makespan=24, Balanceamento= 18  
Makespan=15, Balanceamento= 10  
Makespan=29, Balanceamento= 21  
Makespan=25, Balanceamento= 20  
Makespan=17, Balanceamento= 12  
Makespan=18, Balanceamento= 11  
Makespan=16, Balanceamento= 10  
Makespan=24, Balanceamento= 19  
Makespan=24, Balanceamento= 19  
Makespan=18, Balanceamento= 12  
Makespan=13, Balanceamento= 7  
Makespan=16, Balanceamento= 9  
Makespan=16, Balanceamento= 8  
Makespan=16, Balanceamento= 10  
Makespan=16, Balanceamento= 9  
Makespan=13, Balanceamento= 9  
Makespan=15, Balanceamento= 9  
Makespan=15, Balanceamento= 11  
Makespan=14, Balanceamento= 8  
Makespan=16, Balanceamento= 10  
Makespan=17, Balanceamento= 10  
Makespan=18, Balanceamento= 12  
Makespan=25, Balanceamento= 18  
Makespan=19, Balanceamento= 11  
Makespan=17, Balanceamento= 12  
Makespan=16, Balanceamento= 9  
Makespan=16, Balanceamento= 11  
Makespan=16, Balanceamento= 11  
Makespan=13, Balanceamento= 7  
Makespan=20, Balanceamento= 12  
Makespan=17, Balanceamento= 9  
Makespan=13, Balanceamento= 7  
Makespan=15, Balanceamento= 8  
Makespan=15, Balanceamento= 10  
Makespan=21,  16  
Makespan=21, Balanceamento= 15  
Makespan=25, Balanceamento= 17  
Makespan=17, Balanceamento= 9  
Makespan=27, Balanceamento= 21  
Makespan=14, Balanceamento= 8  
Makespan=29, Balanceamento= 22  
Makespan=27, Balanceamento= 19  
Makespan=15, Balanceamento= 10  
Makespan=21, Balanceamento= 16  
Makespan=14, Balanceamento= 9  
Makespan=20, Balanceamento= 15  
Makespan=13, Balanceamento= 9  
Makespan=18, Balanceamento= 13  
Makespan=17, Balanceamento= 11  
Makespan=18, Balanceamento= 12  
Makespan=25, Balanceamento= 19  
Makespan=26, Balanceamento= 22  
Makespan=17, Balanceamento= 12  
Makespan=15, Balanceamento= 11  
Makespan=23, Balanceamento= 18  
Makespan=20, Balanceamento= 14  
Makespan=19, Balanceamento= 13  
Makespan=22, Balanceamento= 14  
Makespan=16, Balanceamento= 9  
Makespan=18, Balanceamento= 10  
Makespan=21, Balanceamento= 15  
Makespan=21, Balanceamento= 16  
Makespan=17, Balanceamento= 11  
Makespan=15, Balanceamento= 9  
Makespan=24, Balanceamento= 19  
Makespan=14, Balanceamento= 10  
Makespan=18, Balanceamento= 13  
Makespan=17, Balanceamento= 14  
Makespan=21, Balanceamento= 17  
Makespan=19, Balanceamento= 13  
Makespan=19, Balanceamento= 15  
Makespan=19, Balanceamento= 15  
Makespan=14, Balanceamento= 9  
Makespan=15, Balanceamento= 10  
Makespan=23, Balanceamento= 18  
Makespan=14, Balanceamento= 8  
Makespan=26, Balanceamento= 20  
Makespan=26, Balanceamento= 22  
Makespan=15, Balanceamento= 10  
Makespan=27, Balanceamento= 22  
Makespan=18, Balanceamento= 12  
Makespan=26, Balanceamento= 19  
Makespan=20, Balanceamento= 15  
Makespan=28, Balanceamento= 23  
Makespan=31, Balanceamento= 26  
Makespan=21, Balanceamento= 17  
Makespan=13, Balanceamento= 8  
Makespan=14, Balanceamento= 9  
Makespan=18, Balanceamento= 15  
Makespan=11, Balanceamento= 8  
Makespan=23, Balanceamento= 18  
Makespan=22, Balanceamento= 16  
Makespan=13, Balanceamento= 10  
Makespan=22, Balanceamento= 18  
Makespan=13, Balanceamento= 6  
Makespan=13, Balanceamento= 8  
Makespan=12, Balanceamento= 7  
Makespan=23, Balanceamento= 19  
Makespan=17, Balanceamento= 12  
Makespan=17, Balanceamento= 11  
Makespan=13, Balanceamento= 8  
Makespan=14, Balanceamento= 8  
Makespan=23, Balanceamento= 18  
Makespan=22, Balanceamento= 17  
Makespan=23, Balanceamento= 18  
Makespan=19, Balanceamento= 15  
Makespan=18, Balanceamento= 14  
Makespan=19, Balanceamento= 14  
Makespan=17, Balanceamento= 11  
Makespan=29, Balanceamento= 23  
Makespan=20, Balanceamento= 15  
Makespan=14, Balanceamento= 10  
Makespan=23, Balanceamento= 18  
Makespan=24, Balanceamento= 18  
Makespan=33, Balanceamento= 27  
Makespan=26, Balanceamento= 18  
Makespan=14, Balanceamento= 10  
Makespan=18, Balanceamento= 10  
Makespan=19, Balanceamento= 15  
Makespan=18, Balanceamento= 13  
Makespan=21, Balanceamento= 16  
Makespan=20, Balanceamento= 16  
Makespan=20, Balanceamento= 15  
Makespan=28, Balanceamento= 23  
Makespan=22, Balanceamento= 16  
Makespan=16, Balanceamento= 10  
Makespan=17, Balanceamento= 13  
Makespan=20, Balanceamento= 15  
Makespan=18, Balanceamento= 13  
Makespan=24, Balanceamento= 19  
Makespan=25, Balanceamento= 20  
Makespan=21, Balanceamento= 18  
Makespan=15, Balanceamento= 11  
Makespan=17, Balanceamento= 13  
Makespan=17, Balanceamento= 12  
Makespan=21, Balanceamento= 15  
Makespan=14, Balanceamento= 8  
Makespan=23, Balanceamento= 17  
Makespan=13, Balanceamento= 8  
Makespan=14, Balanceamento= 7  
Makespan=20, Balanceamento= 13  
Makespan=23, Balanceamento= 17  
Makespan=16, Balanceamento= 9  
Makespan=22, Balanceamento= 17  
Makespan=28, Balanceamento= 21  
Makespan=19, Balanceamento= 15  
Makespan=14, Balanceamento= 10  
Makespan=30, Balanceamento= 25  
Makespan=13, Balanceamento= 9  
Makespan=14, Balanceamento= 8  
Makespan=19, Balanceamento= 13  
Makespan=18, Balanceamento= 13  
Makespan=18, Balanceamento= 12  
Makespan=24, Balanceamento= 17  
Makespan=12, Balanceamento= 9  
Makespan=23, Balanceamento= 20  
Makespan=21, Balanceamento= 16  
Makespan=20, Balanceamento= 17  
Makespan=22, Balanceamento= 18  
Makespan=12, Balanceamento= 9  
Makespan=13, Balanceamento= 10  
Makespan=18, Balanceamento= 13  
Makespan=20, Balanceamento= 15  
Makespan=21, Balanceamento= 17  
Makespan=19, Balanceamento= 15  
Makespan=17, Balanceamento= 11  
Makespan=20, Balanceamento= 15  
Makespan=21, Balanceamento= 16  
Makespan=14, Balanceamento= 10  
Makespan=27, Balanceamento= 23  
Makespan=19, Balanceamento= 13  
Makespan=31, Balanceamento= 24  
Makespan=24, Balanceamento= 18  
Makespan=14, Balanceamento= 10  
Makespan=20, Balanceamento= 15  
Makespan=20, Balanceamento= 15  
Makespan=23, Balanceamento= 19  
Makespan=19, Balanceamento= 16  
Makespan=22, Balanceamento= 17  
Makespan=20, Balanceamento= 15  
Makespan=12, Balanceamento= 7  
Makespan=20, Balanceamento= 15  
Makespan=14, Balanceamento= 9  
Makespan=27, Balanceamento= 23  
Makespan=16, Balanceamento= 11  
Makespan=15, Balanceamento= 9  
Makespan=17, Balanceamento= 10  
Makespan=29, Balanceamento= 22  
Makespan=18, Balanceamento= 11  
Makespan=16, Balanceamento= 12  
Makespan=27, Balanceamento= 20  
Makespan=34, Balanceamento= 28  
Makespan=16, Balanceamento= 11  
Makespan=17, Balanceamento= 11  
Makespan=21, Balanceamento= 15  
Makespan=14, Balanceamento= 9  
Makespan=19, Balanceamento= 15  
Makespan=24, Balanceamento= 19  
Makespan=20, Balanceamento= 15  
Makespan=23, Balanceamento= 17  
Makespan=13, Balanceamento= 8  
Makespan=19, Balanceamento= 15  
Makespan=19, Balanceamento= 13  
Makespan=17, Balanceamento= 12  
Makespan=22, Balanceamento= 17  
Makespan=23, Balanceamento= 17  
Makespan=12, Balanceamento= 7  
Makespan=18, Balanceamento= 13  
Makespan=15, Balanceamento= 10  
Makespan=16, Balanceamento= 11  
Makespan=16, Balanceamento= 10  
Makespan=21, Balanceamento= 16  
Makespan=23, Balanceamento= 18  
Makespan=16, Balanceamento= 11  
Makespan=24, Balanceamento= 18  
Makespan=18, Balanceamento= 13  
Makespan=19, Balanceamento= 14  
Makespan=16, Balanceamento= 11  
Makespan=22, Balanceamento= 17  
Makespan=21, Balanceamento= 16  
Makespan=14, Balanceamento= 10  
Makespan=23, Balanceamento= 18  
Makespan=25, Balanceamento= 19  
Makespan=28, Balanceamento= 22  
Makespan=18, Balanceamento= 11  
Makespan=16, Balanceamento= 9  
Makespan=14, Balanceamento= 8  
Makespan=19, Balanceamento= 14  
Makespan=26, Balanceamento= 20  
Makespan=19, Balanceamento= 13  
Makespan=16, Balanceamento= 9  
Makespan=13, Balanceamento= 7  
Makespan=16, Balanceamento= 11  
Makespan=17, Balanceamento= 12  
Makespan=16, Balanceamento= 10  
Makespan=25, Balanceamento= 19  
Makespan=23, Balanceamento= 17  
Makespan=18, Balanceamento= 13  
Makespan=22, Balanceamento= 16  
Makespan=12, Balanceamento= 8  
Makespan=27, Balanceamento= 21  
Makespan=18, Balanceamento= 13  
Makespan=14, Balanceamento= 10  
Makespan=20, Balanceamento= 13  
Makespan=15, Balanceamento= 9  
Makespan=17, Balanceamento= 12  
Makespan=21, Balanceamento= 15  
Makespan=22, Balanceamento= 17  
Makespan=13, Balanceamento= 7  
Makespan=19, Balanceamento= 15  
Makespan=12, Balanceamento= 8  
Makespan=13, Balanceamento= 7  
Makespan=23, Balanceamento= 18  
Makespan=23, Balanceamento= 16  
Makespan=24, Balanceamento= 18  
Makespan=16, Balanceamento= 10  
Makespan=18, Balanceamento= 13  
Makespan=17, Balanceamento= 13  
Makespan=15, Balanceamento= 9  
Makespan=23, Balanceamento= 19  
Makespan=24, Balanceamento= 20  
Makespan=14, Balanceamento= 8  
Makespan=22, Balanceamento= 17  
Makespan=20, Balanceamento= 15  
Makespan=30, Balanceamento= 24  
Makespan=21, Balanceamento= 15  
Makespan=13, Balanceamento= 9  
Makespan=17, Balanceamento= 11  
Makespan=30, Balanceamento= 26  
